id;tpOper;tpAmb;aplicEmi;verAplic;nrInsc;iniValid;fimValid;planoCtaRef;freqEncerr;cCta até 53;cCtaInterna;cDbrMista - Caso contrário, sequencial de [001] a [999];nomeCta;indCta Indicador do tipo de conta (sintética ou analítica);descCta até 600;cCtaSup - opcional;cCtaRef - de 1 a 13 posições;nivelCta;natCta;codNat;codTrib - opcional;indTribISS - opcional;idLeiDisp;iniVig;fimVig
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.6;1102;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.7;1103;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.8;1104;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.9;1105;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.10;1106;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.11;1107;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.12;1108;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.13;1109;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.14;1110;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.15;1111;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.16;1112;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.17;1113;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.18;1114;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.19;1115;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.20;1116;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.21;1117;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.22;1118;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.23;1119;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.24;1120;;;;;;;;;;;;;;
;;;;;12345678;10/01/2026;;1;1;1.1.2.3.4.25;1121;;;;;;;;;;;;;;
